product,canonical,status,sha256,extra_count,p1_fail,p2_fail,sheet_count,formula_count,chart_count,real_hyperlinks,reason
ortaklar-cari-ve-kasa-adat-faiz-faturasi-hesaplayici,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/ortaklar-cari-ve-kasa-adat-faiz-faturasi-hesaplayici/OrtaklarCariVeKasaAdatFaizFaturasiHesaplayici.xlsx,READY_FOR_REVIEW,38ef44ff22c0b6490adde6a75801d305045717861a96776b4ccc7e9beb460168,0,0,0,19,7259,8,36,
ortakli-gayrimenkul-yatirimi-kar-dagitim,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/ortakli-gayrimenkul-yatirimi-kar-dagitim/current.xlsx,READY_FOR_REVIEW,ce7ad758b9f3f35e836b9a557fd81effa4b04187a1f6f70fc34db7e56372269a,0,0,0,38,88,0,74,
ortulu-sermaye-emsal-faiz-tf-paketi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/ortulu-sermaye-emsal-faiz-tf-paketi/OrtuluSermayeEmsalFaizTfPaketi.xlsx,READY_FOR_REVIEW,86364aa2f0c3b33f0675ded2ba3f1c5e53af74985de5f0095f813497aabd48ee,0,0,0,15,2268,9,28,
otel-fizibilite-ve-karlilik,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/otel-fizibilite-ve-karlilik/current.xlsx,READY_FOR_REVIEW,03adf9d6308abcad2fca5dab1697761517e4ff10d1a73913f3bf30cf3968e8e6,0,0,0,38,88,0,74,
pazaryeri-hakedis-mutabakat-motoru,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/pazaryeri-hakedis-mutabakat-motoru/PazaryeriHakedisMutabakatMotoru.xlsx,READY_FOR_REVIEW,0a4466d1a5ee81a8e7a5f93c0ba2f6e28cd88858acaa97beca91bcd2206f21b3,0,0,0,15,23591,8,28,
pazaryeri-net-kar-ve-eksik-hakedis-yakalayici,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/pazaryeri-net-kar-ve-eksik-hakedis-yakalayici/PazaryeriNetKarVeEksikHakedisYakalayici.xlsx,READY_FOR_REVIEW,2bcddab1c0cce411b61ecb8743321f2e71a4167e72901c035002aa8af8d54770,0,0,0,19,16260,10,36,
perakende-magaza-acilis-fizibilite,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/perakende-magaza-acilis-fizibilite/current.xlsx,READY_FOR_REVIEW,6e52437ddaad7e26e2156c8b0d61954aeb9260f13eb8162e5d51ec9a174ce86e,0,0,0,38,88,0,74,
pos-komisyon-net-tahsilat-kontrol-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/pos-komisyon-net-tahsilat-kontrol-sistemi/PosKomisyonVeNetTahsilatKontrolSistemi.xlsx,READY_FOR_REVIEW,1ed58499a42dfd3ba40320d03f697dc270a971f0b6e3157b37427f287a3bef60,0,0,0,19,4186,6,36,
profesyonel-hizmet-sirketi-karlilik-ve-kapasite,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/profesyonel-hizmet-sirketi-karlilik-ve-kapasite/current.xlsx,READY_FOR_REVIEW,573bb0f9acb532d2e3a7d342cba33ee1a622f152a6b740da4bafa4019e3a2680,0,0,0,38,88,0,74,
proje-finansmani-dscr-llcr-paketi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/proje-finansmani-dscr-llcr-paketi/ProjeFinansmaniDscrLlcrPaketi.xlsx,READY_FOR_REVIEW,0d8365d5d429047f401d26dc534b441d06072350a446d76434d0e7e6993b2208,0,0,0,15,2265,8,28,
